Метод,20,30,40,50,75,100,125,150,175,200
list,0.0000081,0.0000146,0.0000246,0.0000378,0.0000905,0.0001630,0.0002650,0.0003772,0.0005270,0.0007655
matrix,0.0000107,0.0000235,0.0000399,0.0000621,0.0001424,0.0002575,0.0004046,0.0005790,0.0007960,0.0011091
