Метод,20,30,40,50,75,100,125,150,175,200
list,0.0000106,0.0000215,0.0000370,0.0000609,0.0001376,0.0002485,0.0003913,0.0005720,0.0009491,0.0014290
matrix,0.0000141,0.0000300,0.0000477,0.0000796,0.0001860,0.0003341,0.0005323,0.0007752,0.0012254,0.0015586
